"survey_response_id","segment","age","city","purchase_frequency_per_month","monthly_beverage_spend_eur","price_sensitivity_1_10","preferred_channel","aware_pulsup","aware_matelibre","aware_voltfit","aware_rootandrise","lumen_purchase_intent_1_10"
"DE-SURVEY-001","Students & Budget-Conscious","22","Hamburg","11.7","25.38","5.1","Gym & Office","0","1","1","0","8.5"
"DE-SURVEY-002","Fitness & Gym-Goers","30","Hamburg","8.8","28.77","5.5","Gym & Office","0","0","1","0","7.1"
"DE-SURVEY-003","Students & Budget-Conscious","19","Cologne","2.6","23.26","8.1","Gym & Office","1","1","0","0","6.6"
"DE-SURVEY-004","On-the-go Commuters","41","Other Germany","6.4","9.08","5.4","Gym & Office","1","1","0","1","10"
"DE-SURVEY-005","Fitness & Gym-Goers","20","Other Germany","7.4","14.42","6.5","DTC Online","1","1","1","0","6.9"
"DE-SURVEY-006","Students & Budget-Conscious","20","Hamburg","3.1","15.15","9.2","Retail/Grocery","1","0","1","0","5.2"
"DE-SURVEY-007","Students & Budget-Conscious","18","Other Germany","5.4","10.76","7.0","DTC Online","0","0","1","0","6.2"
"DE-SURVEY-008","Urban Wellness Professionals","28","Berlin","8.9","23.74","2.2","Gym & Office","1","1","1","0","8.3"
"DE-SURVEY-009","Students & Budget-Conscious","19","Frankfurt","6.7","17.63","8.6","Gym & Office","0","1","0","0","4.6"
"DE-SURVEY-010","Students & Budget-Conscious","18","Other Germany","6.9","27.02","6.8","Retail/Grocery","1","1","0","0","3.7"
"DE-SURVEY-011","Students & Budget-Conscious","23","Other Germany","6.1","23.7","8.6","Retail/Grocery","1","1","0","0","4.7"
"DE-SURVEY-012","On-the-go Commuters","30","Berlin","5.2","30.05","6.3","Retail/Grocery","0","0","0","1","7.8"
"DE-SURVEY-013","Students & Budget-Conscious","23","Frankfurt","4.1","14.75","8.8","Retail/Grocery","1","1","1","0","3.8"
"DE-SURVEY-014","Students & Budget-Conscious","21","Other Germany","5.2","14.35","8.8","Gym & Office","0","1","1","0","8.4"
"DE-SURVEY-015","Fitness & Gym-Goers","34","Berlin","5.6","22.85","6.1","DTC Online","0","1","1","1","6.7"
"DE-SURVEY-016","Urban Wellness Professionals","33","Cologne","7.9","21.48","4.6","Retail/Grocery","0","1","0","1","9.2"
"DE-SURVEY-017","Urban Wellness Professionals","25","Berlin","7.1","15.4","4.7","DTC Online","1","0","0","1","8.5"
"DE-SURVEY-018","Urban Wellness Professionals","32","Other Germany","5.4","19.18","4.5","Gym & Office","0","0","0","0","8.5"
"DE-SURVEY-019","Students & Budget-Conscious","23","Other Germany","8.6","26.55","7.8","Gym & Office","1","0","0","0","7.4"
"DE-SURVEY-020","On-the-go Commuters","32","Munich","10.1","26.03","4.8","DTC Online","1","0","0","0","7.2"
"DE-SURVEY-021","Students & Budget-Conscious","20","Berlin","5.8","14.56","9.1","DTC Online","1","1","0","0","3.5"
"DE-SURVEY-022","Fitness & Gym-Goers","18","Cologne","7.0","17.96","5.2","Gym & Office","0","0","1","0","6.9"
"DE-SURVEY-023","Urban Wellness Professionals","37","Other Germany","9.7","14.89","4.2","DTC Online","0","1","0","1","10"
"DE-SURVEY-024","Students & Budget-Conscious","24","Frankfurt","7.0","8.69","6.2","Gym & Office","1","0","1","0","6.3"
"DE-SURVEY-025","Fitness & Gym-Goers","20","Other Germany","7.5","24.6","5.6","Gym & Office","0","1","1","0","8.0"
"DE-SURVEY-026","Students & Budget-Conscious","23","Hamburg","6.8","24.42","9.2","Gym & Office","1","1","0","0","2.8"
"DE-SURVEY-027","Urban Wellness Professionals","32","Other Germany","8.4","14.17","4.5","DTC Online","0","1","0","0","8.7"
"DE-SURVEY-028","Urban Wellness Professionals","39","Other Germany","8.8","16.61","3.4","DTC Online","0","1","1","1","7.8"
"DE-SURVEY-029","Students & Budget-Conscious","20","Other Germany","6.2","18.21","8.7","Retail/Grocery","1","1","1","0","5.8"
"DE-SURVEY-030","Urban Wellness Professionals","25","Other Germany","9.2","24.81","1","Gym & Office","0","0","0","0","10"
"DE-SURVEY-031","On-the-go Commuters","40","Munich","5.7","15.29","7.2","Retail/Grocery","1","1","0","1","4.6"
"DE-SURVEY-032","Urban Wellness Professionals","25","Berlin","6.0","21.92","4.1","DTC Online","1","0","1","0","10"
"DE-SURVEY-033","Urban Wellness Professionals","27","Cologne","6.6","15.28","4.7","Retail/Grocery","0","0","1","1","6.9"
"DE-SURVEY-034","Students & Budget-Conscious","19","Cologne","5.8","12.64","7.0","Gym & Office","1","0","1","0","7.5"
"DE-SURVEY-035","Fitness & Gym-Goers","27","Frankfurt","5.4","9.71","6.3","Gym & Office","0","0","1","0","5.9"
"DE-SURVEY-036","On-the-go Commuters","43","Other Germany","7.4","15.66","4.9","Gym & Office","0","1","0","0","7.3"
"DE-SURVEY-037","On-the-go Commuters","47","Berlin","5.2","20.87","7.0","Retail/Grocery","1","0","1","0","4.4"
"DE-SURVEY-038","On-the-go Commuters","27","Munich","3.4","16.93","6.0","Retail/Grocery","1","1","0","0","5.5"
"DE-SURVEY-039","Students & Budget-Conscious","22","Other Germany","4.3","22.22","10","Retail/Grocery","1","0","0","0","5.4"
"DE-SURVEY-040","On-the-go Commuters","27","Munich","8.8","13.16","5.4","Retail/Grocery","0","1","0","0","7.4"
"DE-SURVEY-041","Students & Budget-Conscious","18","Other Germany","0.5","15.5","7.9","DTC Online","1","0","0","0","4.6"
"DE-SURVEY-042","On-the-go Commuters","31","Munich","9.3","21.86","5.3","Retail/Grocery","1","0","0","0","7.4"
"DE-SURVEY-043","Students & Budget-Conscious","18","Frankfurt","5.9","31.46","7.2","Retail/Grocery","1","1","1","0","7.0"
"DE-SURVEY-044","Students & Budget-Conscious","19","Other Germany","4.6","16.56","8.7","Gym & Office","1","1","0","0","2.9"
"DE-SURVEY-045","On-the-go Commuters","38","Munich","4.7","25.72","4.4","Retail/Grocery","1","1","1","1","7.3"
"DE-SURVEY-046","Students & Budget-Conscious","21","Other Germany","4.8","12.97","9.0","Retail/Grocery","1","1","0","0","7.7"
"DE-SURVEY-047","On-the-go Commuters","31","Hamburg","3.4","23.05","4.3","Retail/Grocery","1","0","0","0","7.2"
"DE-SURVEY-048","Students & Budget-Conscious","23","Munich","5.7","20.4","6.5","Retail/Grocery","1","1","1","0","6.5"
"DE-SURVEY-049","On-the-go Commuters","43","Frankfurt","5.4","25.69","4.0","Retail/Grocery","1","0","0","0","9.5"
"DE-SURVEY-050","On-the-go Commuters","40","Hamburg","3.1","16.84","4.8","Retail/Grocery","0","0","0","0","9.4"
"DE-SURVEY-051","Urban Wellness Professionals","35","Berlin","7.2","27.65","3.5","DTC Online","0","0","1","1","8.5"
"DE-SURVEY-052","Students & Budget-Conscious","20","Frankfurt","2.9","23.58","9.1","Gym & Office","1","1","1","0","5.1"
"DE-SURVEY-053","Students & Budget-Conscious","24","Other Germany","4.3","22.05","7.5","DTC Online","1","1","0","0","5.2"
"DE-SURVEY-054","Students & Budget-Conscious","19","Other Germany","3.4","17.37","8.7","Gym & Office","1","0","1","0","3.5"
"DE-SURVEY-055","Fitness & Gym-Goers","33","Other Germany","7.0","22.45","4.3","DTC Online","0","0","1","0","7.2"
"DE-SURVEY-056","On-the-go Commuters","38","Berlin","8.6","28.82","4.6","Retail/Grocery","1","0","0","0","3.7"
"DE-SURVEY-057","On-the-go Commuters","39","Berlin","4.1","17.92","5.8","Retail/Grocery","0","1","0","0","6.1"
"DE-SURVEY-058","On-the-go Commuters","46","Other Germany","4.0","14.79","4.1","DTC Online","1","0","1","0","8.0"
"DE-SURVEY-059","Students & Budget-Conscious","18","Other Germany","6.2","21.19","8.6","Retail/Grocery","1","1","1","0","5.3"
"DE-SURVEY-060","Fitness & Gym-Goers","23","Berlin","5.6","24.13","4.8","Gym & Office","1","1","1","0","7.9"
"DE-SURVEY-061","On-the-go Commuters","46","Frankfurt","2.2","9.9","9.6","DTC Online","1","1","0","0","8.2"
"DE-SURVEY-062","Students & Budget-Conscious","21","Frankfurt","4.4","23.97","9.1","Retail/Grocery","1","0","0","1","4.4"
"DE-SURVEY-063","Fitness & Gym-Goers","33","Other Germany","5.5","16.1","4.6","Retail/Grocery","0","0","0","0","6.9"
